,content
98,"loadnya lama banget kalau abis ninggalin page/abis buka gambar di page, akan diedit bintangnya kalau gak lelet lagi."
99,"Seru pembelajarannya, materinya juga lebih mudah dipahami karena penjelasannya simple."
100,"nice,tp hrus ada improvmnt: login dgn Google account nyangkut stlah verif,dan knp login dgn Google hrus verify account lg lewat email? serta terlalu banyak meminta data di menu profile.. kemudian muncul in-app dapet diskon tp tidak jelas tncnya dan tidak ada di menu kupon."
101,"great app to learn and improve skills. also, this app it's easy to use!!!"
102,Easy to learn
103,Ok
104,"It's not the apps, this was experience"
105,"Menarik, dan nyaman untuk belajar"
106,"Setiap kali saya buka app, lalu buka materi, loadingnya sangat lama. Itu jadi barrier saya untuk baca materi di Binar, sering membuat saya batal membaca materi yg disediakan. Hopefully, this issue can be resolved asap."
107,"Di level silver course FSW, ketika klik gambar makan gambar akan menjadi fullscreen. Saat gambar diclose maka akan loading cukup lama untuk kembali ke halaman sebelumnya."
108,Top lah ini. Ga ada komen lain.
109,Bagus
110,Oke google
111,- Typo di introduction bahasa pemrograman page 10 dan 13 - typo di pm101 page 50
112,"Beres chapter 1 android, ga bs ke chapter 2, krn materi struktur data ngulang2 terus biarpun sudah dilanjutkan, tp ga tuntas2."
113,"For applications and learning materials are very good, helpful and easy to understand. But for material that is accompanied by images a lot of text that is not right because the appearance of text is too small. Maybe you can add the Zoom in feature to the image to make it easy to read the text on the image. Thanks"
114,App nya sangat bagus dan mudah dipahami
115,"Saat pertama install bs, namun saat upgrade.. Kok susah ya.. Hingga install ulang.."
116,"Kalau ukuran text nya bisa sedikit lebih besar, mungkin bacanya jadi lebih nyaman..."
117,"Binar is very good, Recommended this app"
118,"Great app for IT newbies, easy to use."
119,"Satisfying. If the next slide is a quiz, and the slide before have picture. When you tap the picture to zoom and tap the back button, the quiz on the next slide will reveal its answer."
120,Overall it's a good app but i think the UI can still be improved!
121,aku suka pake binar
122,"This app is really great! Its main features are the free bootcamp courses & insight for webinars! It has amazing functions and easy to use, but there are some minor errors here and there, though they don't hinder the larger functions of the application. It's a good bargain, at least you may try to join one of the insights! I'm looking forward for one as well as the upcoming bootcamp batch."
123,Aplikasinya berguna banget
124,app-nya useful bangett
125,"Sukaa banget sama aplikasinya, sangat bermanfaat"
126,Aplikasinya membantu banget buat siapapun yang pengen belajar autodidak topik-topik tertentu!
127,"Sebagai pengguna awam, experience setelah menggunakan aplikasi ini cukup nyaman. Interface yang nyaman di mata, penggunaan bahasa yang useful hingga menu yang sangat mudah dipahami. Sangat cocok untuk kamu yang baru belajar!"
128,Broken app
129,Keren banget aplikasinya gampang dipake
130,Bagusss
131,Aplikasi ini sangat berguna sekalia krn di jaman serba apa2 digital begini kita jd makin bisa belajar lbh pintar lg.Jadi meskipun dirumah aja tetep bisa dpt ilmu yg bisa dipakai utk kedpnnya.recomended lah!!
132,Aplikasinya bermanfaat banget ❤️
133,Aplikasi ini sangat bermanfaat dan mudah untuk digunakan
134,Woahhh keren banget app nya👍👍👍
135,keren
136,nice app
137,Great app to learn
138,This a good app for beginner learn about UI/UX
139,Bagus
140,"Seru bgt belajar di Binar Academy, ada kelas pemula gratis yg bisa diambil. Jadi makin yakin deh buat belajar trus disini!"
141,Easy to use ❤❤
142,"bagus app nya, bermanfaat dan sangat membantu"
143,"Great app to learn and improve skills. it's easy to use!! Thank you, Binar Academy"
144,"Very innovative and helpful app! If I could rate it more than 5, I would."
145,"Aplikasi termantap!! Bisa nambah ilmu belajar skills yang dibutuhkan dalam era digital sekarang, mulai dari UI/UX, product management sampai digital marketing. Keren banget!"
146,Very nice application that make us helpful for study
147,Bermanfaat
148,aplikasinya sangat bermanfaat👍🏻👍🏻
149,"Kerenn banget aplikasi, sangat bermanfaat"
150,Must try app👌👌especially for those who wants to learn IT/IS
151,Nice App!! UI UX dari Binar academy keren banget dan mempermudah saya dalam mencari berbagai course programming yang disediakan. Cocok banget buat memperdalam skill.
152,"Kemudahan akses materi melalui aplikasi mobile dan adanya fitur upgrade materi membuat setiap orang bisa akses materi terlebih dahulu untuk melihat minat mereka dari bidang yang dipilih, ditambah ada Binar Insight bakal jadi sumber ilmu juga untuk belajar langsung dari ahlinya. Kehadiran Binar membuka peluang semua orang untuk bisa belajar dengan kualitas materi standar industri dan metode belajar yang diakui dunia"
153,Aplikasi ini sangat mendukung dalam belajar dan mudah dimengerti
154,"nice apps!! UI/UX dari apps ini juga bagus dan sangat user friendly. Selama ini saya baru tahu kalau ada aplikasi seperti ini, saya sangat tertarik untuk mempelajari lebih dalam tentang ui/ux, tapi awalnya tidak tahu dimana tempat yang tepat bagi saya untuk mengembangkan skill saya.. dan setelah download aplikasi binar ini akhirnya saya bisa menemukan tempat yang tepat untuk belajar.. semoga untuk kedepannya aplikasi ini dapat membantu saya mengembangkan potensi saya"
155,ux design keren dan materi sangat membantu!
156,recommended bangat buat kalian yang mau ngembangin skill IT!
157,gampang banget buat pake appnya trs coursenya juga ga ngebosenin
158,"Keren banget buat nambah wawasan, gampang cara aksesnya!"
159,"Belajar hal baruu jadi berasa mudah dan seruu!! adaa event2 juga yg bisa diikutin, kerenn bgt Binar✨"
160,"mantep banget course yg ada di sini, sangat membantu"
161,Aplikasinya sangat membantu buat belajar. Ui/uxnya juga oke
162,"aplikasi sangat bermanfaat , ui juga sangat bagus, keren lah pokoknya"
163,"Asli kenapa baru tau ada app kaya begini baru sekarang, berguna banget buat nunjang karir lengkap banget modul sama tawaran bootcamp nya!!"
164,Aplikasi yang sangat membantu!
165,Bagus banget! Bener2 menambah ilmu dan skill yang lagi dibutuhkan
166,Great app! I can learn many things here.
167,Banyak course yang menarik buat belajar hal baru dan UI friendly banget!
168,Thank you so much for making this great app to support education. It really helps me a lot
169,"Aplikasi yang keren, cocok buat mahasiswa yang pengen nambah wawasan!"
170,Aplikasi pembelajaran yang sangat bermanfaat dan keren banget❤. Harus banget sii nyobain buat yang ingin belajar di bidang IT😊
171,"great app!! cocok sih buat yang tertarik belajar programming hingga UI/UX, materinya oke, tampilannya juga menarik 👌🏻 Good luck Binar!!!"
172,"Secara tampilan sangat bagus, untuk materi pembelajaran dan cara mengajar juga mudah dipahami. Untuk harga juga relatif terjangkau."
173,terbaik!! ada materi yang bisa diakses secara gratis dan dari situ kita udah bisa ngeliat kualitas dan value dari materi-materinya. App nya yang simple dan robust juga pas banget buat akomodasi pembelajaran kita👍
174,Aplikasi nya sangat bagus dan menarik sekali untuk penggunanya
175,User friendly banget buat aku yang pertama baru kali akses binar academy! Coursenya gampang diikuti dan ga ngebosenin! 5 stars buat binar ⭐
176,"Keren banget aplikasinya, cocok lah buat belajar"
177,App begini berguna bgt sih buat anak2 yang kuliah di bidang2 IT kayak aku 🤩🤩. Menyembuhkan insekyur sama matkul2 teknikal shaaayy
178,"Akhirnyaaaa nemu aplikasi belajar yang sesuai banget sama gaya belajarku! Isi videonya padet dan gak bertele-tele cocok buat aku yang ngantukan, topiknya beragam cocok banget buat aku yang latar belakangnya IT, tapi buat yang latar belakangnya non-IT gaperlu khawatir juga sih soalnya coursenya buanyak! Seru juta belajarnya bisa kayak main game hoho kayak selesaiin level dan rintangan, keren banget pokoknya, UInya juga enak diliat, meskipun ada minor-minor yang bisa diimprove. Goodjob Binar!!"
179,Terbaik✨
180,"aplikasinya simple banget, cocok banget buat yang mau upgrade skill."
181,"Course nya menarik , tampilan aplikasinya juga bagus dan user friendly."
182,"wow wow keren banget aplikasinya, bisa ikut live events bermacam topik lhooo!!"
183,The most recommended app walau tidak memiliki background IT sekalipun. Binar Academy memberikan wadah ya bisa membuat diri kita berkembang lebih baik.
184,Very good and useful app! Kontennya bermanfaat dan mudah untuk dipelajari
185,"Great app! There are a lot of learning path options, also the preview of each topics does give me insights to depict what I will learn later in the bootcamp"
186,"good app, easy to use, very inspirational"
187,"UI enak dilihat, course banyak dan mudah dipahami, saya tentu merekomendasikan aplikasi ini untuk digunakan sebagai media belajar"
188,"Very useful app, ui nya juga mantep!! Keren pokoknya"
189,Mantab
190,Design UI/UX nya friendly!
191,"Keren banget aplikasinya, tampilan keren, isinya juga mantap. Belajar bisa dimanapun dan kapanpun."
192,Aplikasi nya keren karna bisa belajar dengan mudah dimanapun dan kapan pun. Highly recommended !!!
193,what a good application!! keep the good work
194,"insightful, useful, and user friendly"
195,"Paten kali aplikasi ini, bisa belajar banyak hal terutama Startup Academy"
196,Learning platform yg kerenn bgt. it's easy to understand for a beginner like me. Nyesel bgt baru tau sekarang 😌😌
197,aplikasinya memberi banyak wawasan & tampilannya simple
198,"Pengalaman belajar menjadi sangat menyenangkan dengan Binar. UInya yang simple, menarik, dan mudah dipahami membuat saya jatuh cinta pada pandangan pertama💜 Binar memiliki banyak sekali manfaat, khususnya bagi para IT lovers seperti saya✨"
199,really helpful and easy to learn bcs its very simple and on point
200,"Aplikasi ini bagus banget sih, membantu banget buat kita yg mau mengasah skill lebih dalam. Ga berat di memori, ga ada kendala, dan mudah digunakan. Ada beberapa course yg bisa dipelajari secara cuma-cuma di Silver Course. Atau bisa juga pake Paket Premium dengan fasilitas belajar langsung dengan fasilitator, dikasih project, dan dibantu untuk cari kerja. Binar Insight juga menawarkan event-event dan program yang menarik tentunya dengan para mentor yang berpengalaman di bidangnya."
201,very good app! love the UI/UX design
202,"Platform yang sangat bagus dan bermanfaat, tampilan yang memikat dan tool-tools yang mudah digunakan. Dengan gaya peenyajian materinya sangat direkomendasikan buat teman-teman yang ingn jago di dunia digital saat ini. Semoga sukses kedepannya dan berkembang lebih pesat lagi. Salamm suksess..."
203,"Dari kemarin pusing cari bahan belajar business intelligence, untung ada course binar yg ngebantu banget!! Course nya jelas dan padat, cocok banget buat pemula. UI app nya juga keren dan intuitif banget, mantap binar!!"
204,Keren appnyaa
205,"Ketika ingin menggunakan aplikasi ini dan tidak login, kita diharuskan menuliskan nama. Namun ketika menulis nama, entah ini di HPku doang atau engga, tapi keyboard nutupin box yg buat nulis nama itu, jadi tidak terlihat"
206,Overall it's a good UX buat flow yang mudah & copywriting yang friendly. And it's also a good UI buat tampilannya yang simple. And maybe for banner bisa lebih ada ilustrasi lagi biar gak plain.
207,Nice UI and very useful learning platform 👍
208,Nice app to learn!
209,Great app for IT education
210,"Aplikasinya seru BGT karena Binar punya berbagai kursus yang bisa kita pilih untuk siap erkarier di industri digital. Serunya karena app nya ga ngebosenin dan bisa BELAJAR SAMBIL BERMAIN! Jadi, kita belajar skill digital tapi rasanya kayak lagi main game hehe! Buat maju ke tahap selanjutnya, ada rintangan yang harus kita selesaikan dahulu. Seru banget, intinya mah app ini recommended banget. Penasaran kan gimana serunya? Biar nggak kepo, langsung aja download sekarang dan nikmati sensasinya😚✨"
211,"Binar App kudos meledos gandoss! Karena cara belajarnya cocok banget dengan cara belajarku, yaitu membaca/via teks. Jadi bisa tetep belajar sambil dengerin musik deh! Jadi ga bosen dan suntuk gegara dengerin video doang. Binar Insightnya juga keren, topiknya beragam. Mulai dari teknologi sampe bisnis, ada! Udah gitu, ada ilustrasi2 dan bahasanya ringan bikin belajar jadi makin asik dan ga kaku. Ditambah lagi aksesnya gampang, ga perlu searching2 google dan appnya ga berat jadi easy to go + use!"
212,Apikasinya keren
213,"Haloo, salam dari mahasiswa Lombok. Aku udah nyobain banyak platform belajar. Dengan berbagai macam harga dan variasi pembelajaran yang berbeda baik yang di dalam dan luar negeri. Ketika pertama kali nyobain platform Binar Academy tepatnya tahun lalu, dengan penyampaian materi yang to the point disertai dengan ilustrasi yang menarik membuat jatuh hati para pembacanya khususnya aku sendiri. Jadi bisa kubilang dengan metode belajar itu menjadikan Binar Academy sebagai platform belajar favoritku."
214,"Ini nih,ini nih.....aplikasi yang bener"" dibutuhkan dalam masa pandemi seperti ini,dimana harus PPKM tidak bisa belajar tatap muka langsung,aplikasi lengkap dengan pembelajaran dan strategi cerdas,,mentornya top markotop alias tidak diragukan kualitasnya 👍👍,,beruntung banget buat kalian yang menggunakan aplikasi ini,kita bisa belajar buaaanyaaak dengan materi materi yang menarik dan mudah dipahami.. Guyss yook donlod aplikasi ini,gak akan nyesel deh,tak jamiiiiinnnnn.....banyak manfaatnya"
215,"Great app, very easy to use and navigate."
216,"Really helpfull and easy to learn the UI is simple and on point, but sometimes the bug still comes out in some cases such as while logging in by third account. Hope it got fixed in the next version. Can't wait...!"
217,good application
218,Nice apps
219,Sangat membantu dalam mengarahkan belajar saya
220,very good app !! and helpful in my learning process
221,"Binar Bootcamp yang awam bakal diajarin sampai paham selama 4/6 bulan... Terus belajarnya tuh di bimbing sama fasilitator handal dan ternama pastinya yang sudah meniti karier di industri digital.. terus fasilitator nya tuh ngertiin kita bangettttt engga pakai istilah rumit... Nah nanti kalau sudah lulus dari binar bootcamp pasti deh di bantu dalam pencarian kerja lewat fitur job connect... Nah ada juga Binar insight fungi nya itu melejitkan karier digital kita, belajar pasti sama ahli nya dong"
222,wah keren banget
223,"Dari segi UI simple dan fresh dengan khas warna ungu, dan UX yang sımple dan user friendly. Mulai dari register account, daftar event, memilih course, dan memulai course sangat mudah di akses. Overall saya suka UI dan UX nya yang simple, terutama di course nya, materi yang di sampaikan dengan bahasa yang ringan dan asik sangat mudah dipahami dan juga ingin lebih mempelajari course lainnya di app ini, sesuai namanya ""Addictive digital skill learning application"". 5 star for Binar app, impressive!"
224,"berkat aplikasi binar, pengetahuan tentang industri digital gw bertambah, dgn cm baca kelas silver. hingga akhirnya kemauan untuk belajar dan beradaptasi dengan kemajuan teknologi semakin meningkat didiri gw. finally gw join deh ke kelas premiumnya. sumpah ini ga ngerogoh isi kantong banget tp dapatnya ilmu daging semua."
225,"Wohoo, mantap kali aplikasinya. Saya jadi ketagihan belajar nihh karena design aplikasinya yang bagus bangettt. Smoga bisa dapet banyak ilmu deh dari sinii👍👍"
226,"Aplikasinya keren, bisa ngebantu buat kita"" yg mau belajar. Thanks binar!"
227,"Saya melihat aplikasi ini pertama kali dalam sebuah iklan jadi saya pikir akan mencoba menggunakannya, ketika saya menggunakan aplikasi ini saya terkejut sebab saya sebelumnya masih terbilang buta mengenai seluk beluk IT namun terdorong niat dan tekad saya untuk belajar di aplikasi ini sangat besar jadi dengan belajar di aplikasi Binar pun lambat laun saya menjadi semakin paham mengenai pembelajaran IT sesungguhnya seperti UI/UX konon katanya profesi UI/UX sangat populer di kalangan generasi Z."
228,"Kalo ku liat pertama kali aplikasi ini, kek langsung tertarik gitu buat ku download. Abistu ku coba dalamin lagi aps ini ternyata udahlah ga ngerti lagi aku liat feature yg ada didalamnya. Kalo bisa ku kasih bintang 7 pun, tapi kan gak sakit kepala pulak binar ini. Terbaeklah pokoknya aplikasi ini, berguna juga buat klen yg pengen belajar dengan suasana dan nuansa yang berbedaa. Agak mampur lah dulu klen tengok manatau sor hati klen kann. Biar langsung gassspolll."
229,"gua punya ketertarikan didunia IT sejak lama tapi gua ga tau tempat dimana gua bisa belajar dengan runut dan silabus yang oke, sampe ketemu aplikasi binar ini, Walaupun gua masih SMA gua nyoba buat ngepoin binar ini dan ternyata seru banget apalagi pemilihan kata dari tiap materi itu ga ribett dan terkesan santai. Oke banget dehh!! Cocok banget buat temen"" yang pengen tau dunia per ITan yang lagi hype saat ini, thanks binarr!!!"
230,"Wah tampilan UI UX nya dari aplikasi Binar ini keren banget dan recommended banget untuk digunakan karena memudahkan gw untuk mencari informasi tentang IT seperti programming, web development dan ilmu lainnya.. Disisi lain Binar insight jg menawarkan event dgn program2 yg membantu kita bgt dan Impact nya bisa belajar dr rumah dan dr mana saja nie.. Kerenn bgt apps nya nie😉🙏👍"
231,"Secara pribadi untuk ukuran sy yg sudah bukan siswa ataupun mahasiswa, lebih condong ke sisa² 😁✌. aplikasi ini sangat membantu. Mengingat ilmu pengetahuan yg terus berkembang seiring perkembangan jaman & banyak hal² yg baru yg pastinya waktu sekolah belum sy dapatkan bisa sy temukan di sini, khususnya di bidang IT. Cara belajarnya jg santai & mudah dipahami. Intinya dgn BINAR ACADEMY, TAK ADA KATA TERLAMBAT UNTUK BELAJAR. Semoga dgn BINAR, membantu membuat masa depan lebih BERBINAR-BINAR. 🌟"
232,great app 👍
233,Mantap
234,very good app!! the visuals look interesting and this is also very helpful in my learning process
235,"Aplikasinya ngebantu banget buat kita"" yang mau belajar. Penjelasannya detail bangettt. thanks binarrrrr"
236,"Keren siiii binar, aplikasi dan program""nya enak banget buat belajar. thanks binarr"
237,"Sebagai upaya mencegah penyebaran Covid-19, Presiden Jokowi telah menghimbau masyarakat agar melakukan kegiatan belajar, beribadah, dan bekerja di rumah. Meski anak-anak kini diwajibkan belajar di rumah, bukan berarti proses belajar-mengajar berhenti. Demi mendukung aktivitas belajar dari rumah, BINAR berbasis teknologi membantu para programmer dalam memperdalam ilmunya. Dengan BINAR kita bisa belajar kapanpun dan dimanapun dengan tutor yang humble dan pinter banget yang dapat membimbing mu.bye"
238,"Aplikasinyaa bagus, tampilannya enak dan memudahkan kita untuk belajarr, apalagi ada kelas gratis buat pemula. Khususnya bagi yang pengen belajar tentang UI UX wajib banget download aplikasi inii karna materinya lengkap dan terstruktur. Tapi sayang kelas untuk yg gratis cuma dikit, semoga kelas gratisnya bisa ditambah lagii. ❤️"
239,Bermanfaat dan menarik banget buat media belajar
240,Premium member coming from non-IT background here. Regret to say that there is still a lot to improve from this app.. most critical one is the module. Many typos and the technical explanation is not very clear. Had to search the net for easier-to-understand explanation. Information is too dense in some cards and in need to be elaborated more. You put many analogies but lacking real example which is also confusing. Loading cards are also laggy and sometimes the pics/quizes do not appear. Plz fix!
241,"Sangat menarik, terutama event-event terkait UX-nya"
242,Materi² yg tersedia sangat membantu sekali utk memperoleh pengetahuan baru
243,"Sangat membantu terutama bagi saya yang mau improve skills masakini, gak hanya hard skills , tapi disini saya juga bisa belajar soft skills melalui event event yang diadakan binar, terutama kelas gocengnya yang isinya daging semua"
244,"Aplikasi ini cocok banget buat lu yang mau belajar tapi dompet pas""an. Di sini menyediakan bootcamp gratis juga lho tapi jangan salah,walau free tapi penjelasannya top banget dan mudah dimengerti.Pokoknya recommend banget deh!"
245,"Keren banget sih ini aplikasinya, membantu banget buat belajar hal baru🥳"
246,"Awesome i like this app, this really help me for learning programming"
247,"Keren, simple, lengkap dan mudah digunakan"
248,"Aplikasinya bener-bener user friendly, waktu masuk awal langsung diedukasi apa aja manfaat dri aplikasi ini. Warna ungunya mencirikan banget aplikasi yg ngebantu kreatif. UI nya juga enak dilihatnya. Daftarnya juga gampang tinggal pakai akun google, pilihan ecourse nya cukup banyak. Jadi 1 aplikasi bisa buat belajar beberapa skill kreatif. Ada event-event yg diisi sama orang-orang yg expert dibidangnya. Dan harganya ada flash sale & bundling juga menarik😅 Highly recommended!"
249,"UI nya keren, kekinian. Bukan UI aja yg keren, program nya juga keren keren. 👍🏻👍🏻"
250,"Aplikasi yang cocok buat yang mau terjun ke industri digital, khususnya buat yang mau belajar programming bisa banget!"
251,Mantaf
252,"Ngebantu bgt buat pemula yg lagi belajar ttg IT, apk nya ga ribet up to date mudah di pahami ga kaya dia yg susah ditebak wkwk bnyk promo juga hadiah nya jga menarik keren siiii sukses terus yaa!! :)"
